DATE,TIMESTAMP,APP ERROR DETAILS,APPLICATION HOSTNAME
NA,NA," ERROR => DpHdlDeadWp: W0 (pid 5015) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W29 (pid 14053) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W14 (pid 30538) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W7 (pid 8918) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W2 (pid 10005) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W42 (pid 17697) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W6 (pid 24913) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W84 (pid 5767) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W51 (pid 10507) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1MSGClient          [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1                   [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: X1MSGClient          [dpMessageSer 247]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W30 (pid 7042) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W44 (pid 5536) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W41 (pid 29069) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W2 (pid 16631) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W23 (pid 15552) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W3 (pid 16343) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W9 (pid 22580) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W25 (pid 30823) died (severity=0, status=11) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W20 (pid 29909) died (severity=0, status=11) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W32 (pid 31217) died (severity=0, status=11) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W19 (pid 20013) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W28 (pid 27974) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA," ERROR => DpHdlDeadWp: W20 (pid 18586) died (severity=0, status=9) [dpxxwp.c     1428]",dev_di
NA,NA, ERROR => DpSesGetWorkerType: invalid T76 [dpSession.c  2141],dev_di
NA,NA, ERROR => DpRqGetRequestQueueOfRequest: T76_U20052_M0 invalid ? [dpxxrq.c     1646],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 009142840062AB39 (T145_U17028_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T145_U17028_M0 doesnt expect msg 009142840062AB39 [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 00C53CF90061FD07 (T197_U15609_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T197_U15609_M0 doesnt expect msg 00C53CF90061FD07 [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 0041380300614F40 (T65_U14339_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T65_U14339_M0 doesnt expect msg 0041380300614F40 [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 009535BA00610742 (T149_U13754_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T149_U13754_M0 doesnt expect msg 009535BA00610742 [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 0045539D00447BC9 (T69_U21405_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T69_U21405_M0 doesnt expect msg 0045539D00447BC9 [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 0063517E00443C60 (T99_U20862_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T99_U20862_M0 doesnt expect msg 0063517E00443C60 [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 006A4E260043D5FA (T106_U20006_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T106_U20006_M0 doesnt expect msg 006A4E260043D5FA [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 00964BF400435B39 (T150_U19444_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T150_U19444_M0 doesnt expect msg 00964BF400435B39 [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 002949FB00432058 (T41_U18939_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T41_U18939_M0 doesnt expect msg 002949FB00432058 [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 00C447E30042E2AE (T196_U18403_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T196_U18403_M0 doesnt expect msg 00C447E30042E2AE [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 0035460A0042AC9B (T53_U17930_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T53_U17930_M0 doesnt expect msg 0035460A0042AC9B [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 009543F100426D78 (T149_U17393_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T149_U17393_M0 doesnt expect msg 009543F100426D78 [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 00CA41A800422983 (T202_U16808_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T202_U16808_M0 doesnt expect msg 00CA41A800422983 [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 00253F670041E6BF (T37_U16231_M0) [dpMessageSer 1210],dev_di
NA,NA, ERROR => DpMsPartnerErr: session T37_U16231_M0 doesnt expect msg 00253F670041E6BF [dpMessageSer 1409],dev_di
NA,NA," ERROR => DpMsgProcess: MsReceive () -> MSEPARTNERDIED, partner: sapcrmprp201_CP1_70  [dpMessageSer 247]",dev_di
NA,NA, ERROR => DpMsgReadKeyWithCheck: invalid uid in mskey: 00753DA50041AF2B (T117_U15781_M0) [dpMessageSer 1210],dev_di
